experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,coop,top,30,3,0.043605257667431674,0.0864281243480075,0.05653035677029,0.0574498524634139,0.04222879144640046,0.12466096390569581,0,2,10
1vR,coop,top,30,11,0.026127117197428062,0.1872000834550386,0.04533053009998554,0.03773891272598626,0.049041914195043196,0.2551637805132485,0,2,10
1vR,coop,top,30,5,0.036928854579595244,0.12090548716878781,0.05547773042035507,0.0510999536661961,0.04847346825231239,0.17035259753807636,0,2,10
1vR,coop,top,30,12,0.025184296543570475,0.19653661589818486,0.044171559715060635,0.03648790540626849,0.048739046526184014,0.26716044231170455,0,2,10
1vR,coop,top,30,9,0.02820084845955908,0.16565825161694137,0.047556095062875774,0.040405653218197814,0.04899820911529162,0.22720634258293346,0,2,10
1vR,coop,top,30,13,0.024354427129307157,0.20592530774045484,0.04312141714603637,0.03537828795574958,0.04843109787207183,0.2778009597329439,0,2,10
1vR,coop,top,30,18,0.020816058318666272,0.2436365533069059,0.038060805048297744,0.0305050884563244,0.04559341138727741,0.3209889422073858,0,2,10
1vR,coop,top,20,9,0.028188873867107302,0.16462370437133844,0.047498405155007216,0.040379539599197566,0.04886877828054297,0.2270392068499324,0,2,10
1vR,coop,top,30,20,0.020123497408079092,0.2617880242019612,0.037111570535313484,0.02955821789944723,0.045281809782122734,0.34164406426037974,0,2,10
1vR,coop,top,30,19,0.02047900489158024,0.2537033173377843,0.037619842428939024,0.030048862512872518,0.0455173370067373,0.33204673482161484,0,2,10
1vR,coop,top,20,3,0.0423313805017275,0.08264984227129338,0.054628210905813435,0.055688880745212416,0.04060446088386602,0.11951329427670122,0,2,10
1vR,coop,top,30,8,0.029822136448988106,0.15574796578343417,0.049335836984491274,0.042491780013410814,0.04929063217191738,0.21479240559148757,0,2,10
1vR,coop,top,20,5,0.035619648490310955,0.11622352410995944,0.05347325049893774,0.0492780765876755,0.046673830900960236,0.164398377647589,0,2,10
1vR,coop,top,20,2,0.04867057232987832,0.06349707075259126,0.053612738470782635,0.06038155325221571,0.03513294276701217,0.09328526363226679,0,2,10
1vR,coop,top,20,6,0.03309598918431725,0.12938260477692654,0.05179295693040623,0.046380597320660404,0.04771023478549391,0.1821541234790446,0,2,10
1vR,coop,top,20,10,0.02702118071203245,0.17566471383506083,0.046261429722448184,0.03888347004011058,0.04889309278673856,0.2412798557908968,0,2,10
