experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,coop,top,30,15,0.03172000438176798,0.2973436581062537,0.05685051463399603,0.04623374381648023,0.06532519957321672,0.40213928641442853,2,2,10
1vR,tafeng,top,30,15,0.02393276599052772,0.05776173285198556,0.029341893447860746,0.030665546897065618,0.022574509662134118,0.08303249097472924,2,2,10
1vR,coop,top,30,6,0.04983295759001501,0.18621961380121546,0.07737234645867756,0.06967740111290394,0.07036592964964854,0.26916903548323856,2,2,10
1vR,tafeng,top,30,6,0.024669073405535497,0.04693140794223827,0.02986075296544611,0.03153876490890719,0.02196657133480238,0.07220216606498195,2,2,10
1vR,coop,top,30,8,0.04309510390119584,0.21485676828072928,0.07084000413862206,0.061294439226029916,0.069952199936287,0.30511786904528526,2,2,10
1vR,tafeng,top,30,8,0.024131854908028192,0.05054151624548736,0.02940232651423987,0.030885478637032882,0.022106638848516106,0.07581227436823104,2,2,10
1vR,coop,top,30,18,0.028909190902288762,0.3254202607331896,0.05272299353364922,0.04233664752162351,0.06277871707849403,0.4334934326602627,2,2,10
1vR,tafeng,top,30,18,0.02383602452619229,0.05776173285198556,0.029183338037603666,0.030527795437498895,0.022428218890228925,0.08303249097472924,2,2,10
1vR,coop,top,30,5,0.05429572632817095,0.16875061262497548,0.08070925635496308,0.07489706309177982,0.0694204630565148,0.2469736326210547,2,2,10
1vR,tafeng,top,30,5,0.025631768953068592,0.04693140794223827,0.0309781674402613,0.03277767040774048,0.02256428890002897,0.07220216606498195,2,2,10
1vR,coop,top,30,19,0.02816881033248879,0.3349312634777495,0.05161303683932571,0.041304245744118714,0.06206867560491942,0.4439019309939228,2,2,10
1vR,tafeng,top,30,19,0.02382546865396057,0.05776173285198556,0.029166147045683433,0.03051278459216314,0.022412791076967177,0.08303249097472924,2,2,10
1vR,coop,top,30,12,0.035481702377133405,0.26572914624583416,0.061987016038917604,0.05135243978819981,0.06782987375257886,0.3659699078612037,2,2,10
1vR,tafeng,top,30,12,0.0241364131255828,0.05776173285198556,0.02966772497458418,0.03095356628038469,0.02286247034699047,0.08303249097472924,2,2,10
1vR,coop,top,30,9,0.04081452234311354,0.22894101646735934,0.06843377412628539,0.058386001584001805,0.06973985330875145,0.3224183983532641,2,2,10
1vR,tafeng,top,30,9,0.023881152942524783,0.05054151624548736,0.029059548554133393,0.030546274935845972,0.021877944204871363,0.07581227436823104,2,2,10
1vR,coop,top,30,3,0.06899586682349865,0.1282867329935307,0.08775362673985493,0.09034367049339603,0.06417883111791169,0.1936752597529896,2,2,10
1vR,tafeng,top,30,3,0.02767749699157641,0.04151624548736462,0.03200962695547533,0.034945319421853714,0.021904449341272447,0.06498194945848375,2,2,10
1vR,coop,top,30,11,0.03704798023114896,0.2542546804548128,0.06399117488732269,0.05344848651216627,0.06859826265852091,0.3524615271515389,2,2,10
1vR,tafeng,top,30,11,0.023917618682961644,0.05415162454873646,0.029237950176578337,0.030626147288929997,0.022287703103973176,0.07942238267148015,2,2,10
