experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,coop,top,30,3,0.03438516297625191,0.10315548892875574,0.05157774446437787,0.04761022565942572,0.04420949525518104,0.10315548892875574,2,1,10
1vR,tafeng,top,30,3,0.024475524475524476,0.04195804195804196,0.029137529137529133,0.0311278465124619,0.020879120879120878,0.04195804195804196,2,1,10
1vR,coop,top,30,18,0.015058438521189337,0.27103044899363493,0.028531592341942677,0.022278199078273254,0.036960851932221504,0.27103044899363493,2,1,10
1vR,tafeng,top,30,18,0.025019903310730132,0.06993006993006994,0.03118548118548118,0.03219131776545672,0.024794590436301663,0.06993006993006994,2,1,10
1vR,coop,top,30,6,0.02545198364912797,0.15271190189476788,0.04363197196993368,0.03665085645474429,0.04581357056843036,0.15271190189476788,2,1,10
1vR,tafeng,top,30,6,0.023892773892773892,0.04895104895104895,0.028937728937728936,0.03049752660612389,0.021703296703296703,0.04895104895104895,2,1,10
1vR,coop,top,30,13,0.017607826544692184,0.22889582462952496,0.03270017482619777,0.025913389304534826,0.04039413460206032,0.22889582462952496,2,1,10
1vR,tafeng,top,30,13,0.025146473573046998,0.06993006993006994,0.03140748140748141,0.03237489136986708,0.025029649494890137,0.06993006993006994,2,1,10
1vR,coop,top,30,15,0.016453158058181264,0.24678675874271952,0.03084955499801535,0.02427512672730257,0.03896754062295645,0.24678675874271952,2,1,10
1vR,tafeng,top,30,15,0.025074750424400775,0.06993006993006994,0.03128260628260628,0.032271066954257945,0.024899748436196505,0.06993006993006994,2,1,10
1vR,coop,top,30,8,0.022059546337027842,0.17647637069622274,0.03921697126582727,0.03208661285385868,0.044119092674055685,0.17647637069622274,2,1,10
1vR,tafeng,top,30,8,0.024309024309024308,0.055944055944055944,0.0297979797979798,0.031130623916337183,0.02291117972936155,0.055944055944055944,2,1,10
1vR,coop,top,30,9,0.020901427834164803,0.18811285050748322,0.037622570101496625,0.030504786568781053,0.0434106578094192,0.18811285050748322,2,1,10
1vR,tafeng,top,30,9,0.02421189921189921,0.055944055944055944,0.029642579642579645,0.030993169233427955,0.022776698825649873,0.055944055944055944,2,1,10
1vR,coop,top,30,5,0.027470448010616596,0.137352240053083,0.04578408001769433,0.03924349715802371,0.04578408001769433,0.137352240053083,2,1,10
1vR,tafeng,top,30,5,0.02435897435897436,0.04895104895104895,0.029603729603729603,0.03113688724548453,0.02216949716949717,0.04895104895104895,2,1,10
1vR,coop,top,30,20,0.014339570417964954,0.2867587427195203,0.02731322546926715,0.021243757940453575,0.03584790176299569,0.2867587427195203,2,1,10
1vR,tafeng,top,30,20,0.025019903310730132,0.06993006993006994,0.03118548118548118,0.03219131776545672,0.024794590436301663,0.06993006993006994,2,1,10
1vR,coop,top,30,19,0.014726633896375407,0.27977931237865866,0.027980390666672458,0.021803023988402642,0.036495545243607236,0.27977931237865866,2,1,10
1vR,tafeng,top,30,19,0.025019903310730132,0.06993006993006994,0.03118548118548118,0.03219131776545672,0.024794590436301663,0.06993006993006994,2,1,10
1vR,coop,top,30,12,0.018285463318148672,0.2194219852055737,0.03375772974087096,0.026868425516809524,0.04114210495827438,0.2194219852055737,2,1,10
1vR,tafeng,top,30,12,0.025236127508854782,0.06993006993006994,0.03156117386886618,0.03250414217297233,0.02518390700208882,0.06993006993006994,2,1,10
1vR,coop,top,30,11,0.01906061425242571,0.20966552800373547,0.03494444084500852,0.027955563574214783,0.04193328113973955,0.20966552800373547,2,1,10
1vR,tafeng,top,30,11,0.024706354251808796,0.06293706293706294,0.03057498057498057,0.031723969964228695,0.023960130778312595,0.06293706293706294,2,1,10
1vR,coop,top,20,3,0.0337207694843519,0.10116230845305571,0.050581154226527855,0.04669029620910264,0.043355275051309594,0.10116230845305571,2,1,10
1vR,tafeng,top,20,3,0.033333333333333326,0.056,0.04,0.04258461538461538,0.028457142857142854,0.056,2,1,10
1vR,coop,top,20,7,0.022848655822910627,0.1599264119442347,0.03998426151408488,0.03309093105149169,0.04361795143083359,0.1599264119442347,2,1,10
1vR,tafeng,top,20,7,0.03380952380952381,0.072,0.04177142857142857,0.04351870182555781,0.031581818181818176,0.072,2,1,10
1vR,coop,top,20,9,0.02041070122516787,0.183672384274275,0.036738139715691086,0.02978831261315814,0.042388447287582724,0.183672384274275,2,1,10
1vR,tafeng,top,20,9,0.033666666666666664,0.072,0.04154920634920635,0.043318074866310154,0.0314,0.072,2,1,10
1vR,coop,top,20,2,0.040202260812233485,0.08040452162446697,0.0536030144163113,0.0536030144163113,0.040202260812233485,0.08040452162446697,2,1,10
1vR,tafeng,top,20,2,0.032,0.048,0.03733333333333333,0.04053333333333333,0.0256,0.048,2,1,10
1vR,coop,top,20,11,0.01867228169268855,0.20535533885598223,0.03423113167469111,0.027385678103130518,0.04107504095593888,0.20535533885598223,2,1,10
1vR,tafeng,top,20,11,0.033666666666666664,0.072,0.04154920634920635,0.043318074866310154,0.0314,0.072,2,1,10
1vR,coop,top,20,12,0.017872064756801607,0.21441560236928017,0.03299307562310422,0.02626063244698084,0.04020769618739035,0.21441560236928017,2,1,10
1vR,tafeng,top,20,12,0.033666666666666664,0.072,0.04154920634920635,0.043318074866310154,0.0314,0.072,2,1,10
1vR,coop,top,20,13,0.017216226342953053,0.22375235279730318,0.031971382852419024,0.02533670540852075,0.0394911837883284,0.22375235279730318,2,1,10
1vR,tafeng,top,20,13,0.033666666666666664,0.072,0.04154920634920635,0.043318074866310154,0.0314,0.072,2,1,10
1vR,coop,top,20,16,0.015527106702920478,0.24833841998362347,0.0292255813830707,0.022931896685545596,0.03725890916590605,0.24833841998362347,2,1,10
1vR,tafeng,top,20,16,0.033666666666666664,0.072,0.04154920634920635,0.043318074866310154,0.0314,0.072,2,1,10
1vR,coop,top,20,10,0.019552882848713215,0.19549751693482353,0.03554943932986618,0.028613667328267738,0.041895538662768586,0.19549751693482353,2,1,10
1vR,tafeng,top,20,10,0.033666666666666664,0.072,0.04154920634920635,0.043318074866310154,0.0314,0.072,2,1,10
1vR,coop,top,20,6,0.024632148338774446,0.14778225592054192,0.04222578042989158,0.035470097285765584,0.04433604401914747,0.14778225592054192,2,1,10
1vR,tafeng,top,20,6,0.034,0.072,0.042057142857142855,0.04378352941176471,0.031799999999999995,0.072,2,1,10
1vR,coop,top,20,8,0.021532304660222393,0.17224071376160446,0.03827866808927455,0.03131946798801334,0.04306207738899127,0.17224071376160446,2,1,10
1vR,tafeng,top,20,8,0.033666666666666664,0.072,0.04154920634920635,0.043318074866310154,0.0314,0.072,2,1,10
1vR,coop,top,10,3,0.032417893988239015,0.09724898258409542,0.048626057752254925,0.0448860737590683,0.04167880673327255,0.09724898258409542,2,1,10
1vR,tafeng,top,10,3,0.005208333333333333,0.015625,0.0078125,0.007211538461538461,0.006696428571428572,0.015625,2,1,10
1vR,coop,top,20,5,0.026899341039519905,0.13448961578952964,0.044831644281860684,0.03842747424529064,0.04483088470242463,0.13448961578952964,2,1,10
1vR,tafeng,top,20,5,0.0332,0.064,0.04053333333333333,0.04259495798319327,0.029933333333333333,0.064,2,1,10
1vR,coop,top,10,7,0.022210660254026127,0.15531452954500596,0.038859133604286195,0.03216473563170988,0.04237819052851431,0.15531452954500596,2,1,10
1vR,tafeng,top,10,7,0.00390625,0.015625,0.00625,0.005514705882352941,0.005859375,0.015625,2,1,10
1vR,coop,top,10,6,0.023969347506665278,0.14370705940956982,0.041082611978407915,0.03451385553494801,0.04312641736676249,0.14370705940956982,2,1,10
1vR,tafeng,top,10,6,0.00390625,0.015625,0.00625,0.005514705882352941,0.005859375,0.015625,2,1,10
1vR,coop,top,20,15,0.016057926132152216,0.2407882003892085,0.030106805231756045,0.023691598727111407,0.03802624430778468,0.2407882003892085,2,1,10
