experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,coop,top,30,6,0.024746973885032237,0.14848184331019348,0.04242338380291242,0.035635642394446436,0.04454455299305805,0.14848184331019348,1,1,10
1vR,tafeng,top,30,6,0.021535580524344566,0.056179775280898875,0.027768860353130018,0.02802786110122528,0.022512038523274477,0.056179775280898875,1,1,10
1vR,coop,top,30,5,0.026695925558626803,0.13347962779313402,0.044493209264378,0.038137036512324,0.044493209264378,0.13347962779313402,1,1,10
1vR,tafeng,top,30,5,0.022284644194756554,0.056179775280898875,0.02883895131086142,0.029055148420647426,0.023261102193686465,0.056179775280898875,1,1,10
1vR,coop,top,30,20,0.014006855001476323,0.2801046568058574,0.02667948012184097,0.020750845789363818,0.035016110111060844,0.2801046568058574,1,1,10
1vR,tafeng,top,30,20,0.022685647685647684,0.07865168539325842,0.030131977884786873,0.029772306202859707,0.025873812241955004,0.07865168539325842,1,1,10
1vR,coop,top,30,18,0.014693899736165207,0.2644694364146604,0.02784088806217584,0.021738881504798458,0.0360660829685791,0.2644694364146604,1,1,10
1vR,tafeng,top,30,18,0.022685647685647684,0.07865168539325842,0.030131977884786873,0.029772306202859707,0.025873812241955004,0.07865168539325842,1,1,10
1vR,coop,top,30,9,0.020202233334974454,0.18182010001477011,0.03636402000295401,0.029484340542935684,0.04195848461879309,0.18182010001477011,1,1,10
1vR,tafeng,top,30,9,0.02204833244159087,0.06741573033707865,0.028901373283395752,0.028824230715882377,0.02423671833784193,0.06741573033707865,1,1,10
1vR,coop,top,30,12,0.017752621695187046,0.2130272403097504,0.032774011800450295,0.02608547233648442,0.03994317274100154,0.2130272403097504,1,1,10
1vR,tafeng,top,30,12,0.022757673038571912,0.07865168539325842,0.030255449918371265,0.02987614252220831,0.025997738216839338,0.07865168539325842,1,1,10
1vR,coop,top,30,13,0.017112718691010838,0.2224590129343996,0.03178068107488063,0.025184738331136776,0.03925827077607993,0.2224590129343996,1,1,10
1vR,tafeng,top,30,13,0.022685647685647684,0.07865168539325842,0.030131977884786873,0.029772306202859707,0.025873812241955004,0.07865168539325842,1,1,10
1vR,coop,top,30,11,0.018491606930827912,0.2034055662228599,0.03390124740324135,0.027121016636706144,0.04068141467546441,0.2034055662228599,1,1,10
1vR,tafeng,top,30,11,0.02284279391020964,0.07865168539325842,0.030399500624219727,0.029998438631663325,0.026138187655041587,0.07865168539325842,1,1,10
1vR,coop,top,30,15,0.015990406459463057,0.23984554681071044,0.02998189222420649,0.023592377662907362,0.03787153935521392,0.23984554681071044,1,1,10
