experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,coop,top,30,8,0.016210575139146567,0.12968460111317254,0.028818800247371674,0.023579018384213186,0.032421150278293134,0.12968460111317254,0,1,10
1vR,coop,top,30,3,0.024922696351267776,0.07476808905380333,0.037384044526901666,0.03450834879406308,0.03204346673734429,0.07476808905380333,0,1,10
1vR,coop,top,30,5,0.020333951762523193,0.10166975881261596,0.033889919604205315,0.02904850251789027,0.033889919604205315,0.10166975881261596,0,1,10
1vR,coop,top,30,6,0.018800247371675936,0.11280148423005566,0.03222899549430161,0.027072356215213356,0.0338404452690167,0.11280148423005566,0,1,10
1vR,coop,top,30,11,0.014066453027491987,0.15473098330241186,0.025788497217068634,0.02063079777365491,0.030946196660482362,0.15473098330241186,0,1,10
1vR,coop,top,30,9,0.015316429602143888,0.137847866419295,0.027569573283858985,0.02235370806799377,0.03181104609676037,0.137847866419295,0,1,10
1vR,coop,top,20,4,0.021617293835068056,0.08646917534027222,0.03458767013610889,0.03051853247303725,0.03242594075260208,0.08646917534027222,0,1,10
1vR,coop,top,20,2,0.02634107285828663,0.05268214571657326,0.0351214304777155,0.0351214304777155,0.02634107285828663,0.05268214571657326,0,1,10
1vR,coop,top,20,5,0.019311449159327462,0.09655724579663731,0.032185748598879106,0.027587784513324946,0.032185748598879106,0.09655724579663731,0,1,10
1vR,coop,top,30,12,0.013481756338899191,0.16178107606679035,0.024889396317967737,0.019809927681647795,0.030333951762523192,0.16178107606679035,0,1,10
1vR,coop,top,30,20,0.010788497217068647,0.21576994434137292,0.020549518508702173,0.01598295884010168,0.026971243042671615,0.21576994434137292,0,1,10
1vR,coop,top,30,15,0.012158317872603573,0.1823747680890538,0.022796846011131727,0.01793850177925119,0.028796016014061118,0.1823747680890538,0,1,10
1vR,coop,top,20,8,0.015812650120096076,0.1265012009607686,0.028111377991281914,0.02300021835650338,0.03162530024019215,0.1265012009607686,0,1,10
1vR,coop,top,20,7,0.016607571771703068,0.11625300240192153,0.029063250600480383,0.024052345324535488,0.03170536429143314,0.11625300240192153,0,1,10
1vR,coop,top,10,3,0.0206890051369056,0.06206701541071681,0.031033507705358405,0.02864631480494622,0.026600149461735778,0.06206701541071681,0,1,10
1vR,coop,top,20,10,0.014427542033626903,0.14427542033626903,0.02623189460659436,0.021113476146771084,0.030916161500629077,0.14427542033626903,0,1,10
1vR,coop,top,20,9,0.014927497553598432,0.13434747798238592,0.02686949559647717,0.021786077510657163,0.031003264149781353,0.13434747798238592,0,1,10
1vR,coop,top,20,17,0.011246644374322986,0.1911929543634908,0.02124366159594342,0.016625474292477457,0.027313279194784386,0.1911929543634908,0,1,10
1vR,coop,top,30,13,0.01304409875838447,0.16957328385899814,0.024224754836999728,0.019196975531207333,0.029924697151587906,0.16957328385899814,0,1,10
1vR,coop,top,20,14,0.012455678828777302,0.17437950360288232,0.0232506004803843,0.018355737221356024,0.029063250600480376,0.17437950360288232,0,1,10
1vR,coop,top,20,11,0.01371278841254822,0.15084067253803043,0.025140112089671728,0.020112089671737384,0.030168134507606068,0.15084067253803043,0,1,10
1vR,coop,top,20,15,0.011934881238323982,0.1790232185748599,0.022377902321857487,0.01760884117129769,0.02826682398550418,0.1790232185748599,0,1,10
1vR,coop,top,20,13,0.01283488329124838,0.166853482786229,0.023836211826604132,0.018889073522969313,0.02944473225639335,0.166853482786229,0,1,10
1vR,coop,top,30,19,0.011092666731764471,0.21076066790352505,0.021076066790352507,0.01642290918728766,0.027490521900459777,0.21076066790352505,0,1,10
1vR,coop,top,30,18,0.011142032570603987,0.20055658627087197,0.0211112196074602,0.016484102981167557,0.02734862540057344,0.20055658627087197,0,1,10
1vR,coop,top,10,2,0.02424713699985862,0.04849427399971724,0.03232951599981149,0.03232951599981149,0.02424713699985862,0.04849427399971724,0,1,10
1vR,coop,top,20,12,0.013063784360821985,0.15676541232986388,0.024117755743055976,0.01919576477508537,0.02939351481184948,0.15676541232986388,0,1,10
1vR,coop,top,20,3,0.02268481451828129,0.06805444355484387,0.034027221777421936,0.031409743179158706,0.029166190094933094,0.06805444355484387,0,1,10
1vR,coop,top,20,6,0.017827595409661053,0.10696557245796637,0.030561592130847533,0.02567173738991193,0.03208967173738991,0.10696557245796637,0,1,10
1vR,coop,top,10,8,0.014686130354870635,0.11748904283896508,0.026108676186436683,0.021361644152539102,0.02937226070974127,0.11748904283896508,0,1,10
1vR,coop,top,20,16,0.01149919935948759,0.18398718975180145,0.021645551735506047,0.016983432900166285,0.027598078462770216,0.18398718975180145,0,1,10
1vR,coop,top,20,18,0.010862022951694677,0.1955164131305044,0.020580675066368872,0.016069842175109948,0.026661329063250586,0.1955164131305044,0,1,10
1vR,coop,top,20,20,0.010456786481817033,0.20912730184147318,0.01991764840443783,0.015491527421071042,0.026141782991610678,0.20912730184147318,0,1,10
1vR,coop,top,10,6,0.016636033743343222,0.09981620246005939,0.02851891498858839,0.02395588859041425,0.02994486073801781,0.09981620246005939,0,1,10
1vR,coop,top,10,10,0.013509119185635517,0.13502050049483952,0.024560606774660217,0.019769129223495368,0.028943063157682133,0.13502050049483952,0,1,10
1vR,coop,top,10,11,0.01301685024999036,0.14307931570762053,0.023862261809384663,0.019090951934158492,0.028630001413827214,0.14307931570762053,0,1,10
1vR,coop,top,10,14,0.01158833390559673,0.16202460059380744,0.021628414785490983,0.017076868230625656,0.02702766388613977,0.16202460059380744,0,1,10
1vR,coop,top,20,19,0.010602165943280934,0.20144115292233786,0.02014411529223379,0.015696713214727622,0.02627493298987015,0.20144115292233786,0,1,10
1vR,coop,top,10,5,0.0176162872896932,0.088081436448466,0.02936047881615533,0.025166124699561712,0.02936047881615533,0.088081436448466,0,1,10
1vR,coop,top,10,13,0.012085503920651662,0.1569348225646826,0.02244170206845167,0.017785607044788248,0.027715172029507403,0.1569348225646826,0,1,10
1vR,coop,top,10,16,0.010825203826759036,0.17291107026721333,0.02037308867653758,0.015987188128765543,0.025966053264080604,0.17291107026721333,0,1,10
1vR,coop,top,10,12,0.012653753711296475,0.1517036618125265,0.0233583592837092,0.018592746148238862,0.028462109430227627,0.1517036618125265,0,1,10
1vR,coop,top,10,20,0.009940697923872286,0.1982185776898063,0.018929238895510576,0.014725817698276689,0.02482988421856247,0.1982185776898063,0,1,10
1vR,coop,top,10,18,0.01042259804152585,0.18719072529336914,0.019743553772197553,0.015418773487692309,0.025564948642701688,0.18719072529336914,0,1,10
1vR,coop,top,10,15,0.011185729770488703,0.16753852679202602,0.020969806934037105,0.016502798261182137,0.026479495784562487,0.16753852679202602,0,1,10
1vR,coop,top,10,4,0.01894528488618691,0.07578113954474763,0.030312455817899053,0.026746284545205043,0.028417927329280362,0.07578113954474763,0,1,10
1vR,coop,top,10,17,0.010665628473925975,0.18096988547999435,0.020142071155244697,0.01576570429108047,0.025886273013227247,0.18096988547999435,0,1,10
1vR,coop,top,10,7,0.015208741491789697,0.10646119044252793,0.026615297610631982,0.022026453195005773,0.02903487012068943,0.10646119044252793,0,1,10
1vR,coop,top,10,9,0.014047944452299038,0.12639615438993354,0.025285514554565864,0.020502231728019925,0.029173781117793552,0.12639615438993354,0,1,10
1vR,coop,top,40,11,0.01455510433838607,0.1601061477222468,0.02668435795370779,0.021347486362966236,0.032021229544449345,0.1601061477222468,0,1,10
1vR,coop,top,10,19,0.010168770579709527,0.19270465149158772,0.01931568500512932,0.015054010589738358,0.025181035873047673,0.19270465149158772,0,1,10
1vR,coop,top,30,2,0.030148423005565864,0.06029684601113173,0.04019789734075448,0.04019789734075448,0.030148423005565864,0.06029684601113173,0,1,10
