experiment,dataset_name,model_name,split_type,pred_length,avg_precision,avg_recall,avg_f1_score,avg_f05_score,avg_f2_score,avg_hit_score,max_days,max_items,large_basket_threshold
1vR,coop,top,20,5,0.051429559225448035,0.1602453483069715,0.07648719845052138,0.07095387601642016,0.06583859418687432,0.23487808585402492,1,2,10
1vR,tafeng,top,20,5,0.02934782608695652,0.05434782608695652,0.03481711525189786,0.03722094898565486,0.025385544407283533,0.07246376811594203,1,2,10
1vR,coop,top,20,2,0.07882172012052825,0.09761178816355362,0.08508507613487004,0.09709140655037062,0.05480905928952709,0.1509285503527329,1,2,10
1vR,tafeng,top,20,2,0.03260869565217391,0.03985507246376811,0.03502415458937198,0.04009661835748792,0.02246376811594203,0.057971014492753624,1,2,10
1vR,coop,top,20,7,0.04366155864980087,0.1905920011444819,0.07001638380336711,0.06164714695698797,0.06662052461893306,0.27442530020296674,1,2,10
1vR,tafeng,top,20,7,0.029658385093167698,0.06159420289855073,0.03567977915804003,0.03775362969824562,0.026759291433204477,0.07971014492753623,1,2,10
1vR,coop,top,20,4,0.05739472405766519,0.1428858826369578,0.08027258936049093,0.07762815566804107,0.064418939131701,0.21222986203628366,1,2,10
1vR,tafeng,top,20,4,0.030797101449275364,0.05434782608695652,0.03647342995169082,0.03907360045467462,0.026268115942028984,0.07246376811594203,1,2,10
1vR,coop,top,20,10,0.0369267531585018,0.2308232222530199,0.06294326078483944,0.053074095334240526,0.06594178610744801,0.32414767392995414,1,2,10
1vR,tafeng,top,20,10,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,20,8,0.04089615316982741,0.20418272368809293,0.06723768706225945,0.05816979458972266,0.0664181776994833,0.29161935247360093,1,2,10
1vR,tafeng,top,20,8,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,30,18,0.028287333668406512,0.31868669695939333,0.051591585770421146,0.04142652315489981,0.061439202080204335,0.4258188824662813,1,2,10
1vR,tafeng,top,30,18,0.02412731177791419,0.06325301204819277,0.030402997270467153,0.03118538897473437,0.024118993161339013,0.08433734939759036,1,2,10
1vR,coop,top,20,13,0.03246908245052931,0.26402213857172235,0.05728696692922691,0.047121413441696076,0.0638572793649243,0.3636233581602453,1,2,10
1vR,tafeng,top,20,13,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,10,4,0.05655528685307243,0.1404839805901971,0.07905569517547326,0.07647996593390484,0.06339786195753762,0.20931923435598337,1,2,10
1vR,tafeng,top,10,4,0.032051282051282055,0.038461538461538464,0.03025641025641026,0.03663865546218487,0.01970862470862471,0.06153846153846154,1,2,10
1vR,coop,top,20,6,0.04703582168733588,0.1759640918804374,0.07304342772328573,0.06577000828411311,0.06644996708926754,0.25543405370123656,1,2,10
1vR,tafeng,top,20,6,0.029830917874396134,0.06159420289855073,0.035938578329882676,0.03799350975821564,0.026956919891702503,0.07971014492753623,1,2,10
1vR,coop,top,20,20,0.026323388492282107,0.32957055105015154,0.04843134076483385,0.03864095544801344,0.05876705688292027,0.43820244811831083,1,2,10
1vR,tafeng,top,20,20,0.029528985507246377,0.06159420289855073,0.03547849091327352,0.03757190238008652,0.02659460105112279,0.07971014492753623,1,2,10
1vR,coop,top,10,2,0.07754437542478701,0.0959742045616198,0.08368765180373128,0.09551056106132211,0.05389855690960532,0.14862408522610523,1,2,10
1vR,tafeng,top,10,2,0.03076923076923077,0.023076923076923078,0.02564102564102564,0.03384615384615385,0.014358974358974359,0.046153846153846156,1,2,10
