dataset,model_name,split_type,pred_length,mean_precision,std_precision,mean_recall,std_recall,mean_f1_score,std_f1_score,mean_f05_score,std_f05_score,mean_f2_score,std_f2_score,mean_hit_score,std_hit_score
tafeng,clf,split_10,2,0.18666666666666668,0.36886669654636606,0.06971123321123321,0.18514736255637756,0.08924353424353425,0.20148276157209166,0.14598049662755547,0.2990957153045944,0.04502549271645642,0.11201143785206966,0.22,0.415634067242267
tafeng,clf,split_10,3,0.1922222222222222,0.368774026842289,0.07465567765567764,0.18705216838890196,0.09393021793021793,0.20113015180006133,0.15241876424229364,0.2998741545446817,0.04769030556645179,0.11149243634121384,0.24,0.4285138983438295
tafeng,clf,split_10,4,0.1922222222222222,0.368647621522354,0.076989010989011,0.1899790327555584,0.09518947718947719,0.20211160624482746,0.15334068088773972,0.3005037709858938,0.04865877519465214,0.11203274589229419,0.24,0.4285138983438295
tafeng,clf,split_10,5,0.19155555555555556,0.36817741781215424,0.076989010989011,0.1899790327555584,0.09494705294705294,0.20176505650678542,0.15278124032829918,0.2998462758641029,0.0486095141109083,0.11196103210052204,0.24,0.4285138983438295
tafeng,clf,split_10,6,0.1911111111111111,0.36796428243701995,0.076989010989011,0.1899790327555584,0.09474503274503272,0.2015092303450547,0.15237098391804277,0.29946284606940293,0.04856353709941405,0.11189699270543856,0.24,0.4285138983438295
tafeng,clf,split_10,7,0.19079365079365077,0.36786128424264425,0.076989010989011,0.1899790327555584,0.09457409257409255,0.2013162609060336,0.15205725842784668,0.2992262386119495,0.04852052634672588,0.11183961840333133,0.24,0.4285138983438295
tafeng,clf,split_10,8,0.19055555555555556,0.3678109897568737,0.076989010989011,0.1899790327555584,0.09442757242757241,0.20116805353119988,0.1518095804092708,0.29907418248048084,0.04848020376608071,0.11178805768367013,0.24,0.4285138983438295
tafeng,clf,split_10,9,0.19037037037037036,0.36778785188810276,0.076989010989011,0.1899790327555584,0.09430058830058828,0.20105247501313592,0.151609079156138,0.29897357587802104,0.048442324978201924,0.11174158838627785,0.24,0.4285138983438295
tafeng,clf,split_10,10,0.1902222222222222,0.36777941113159046,0.076989010989011,0.1899790327555584,0.09418947718947718,0.20096116270769743,0.1514434476861587,0.2989056572025004,0.04840667435431601,0.11169959503294129,0.24,0.4285138983438295
tafeng,clf,split_10,11,0.1901010101010101,0.3677791631266678,0.076989010989011,0.1899790327555584,0.0940914379737909,0.2008882140551621,0.15130431725137608,0.2988592346523266,0.04837306090893786,0.1116615506364405,0.24,0.4285138983438295
tafeng,clf,split_10,12,0.19,0.36778353390963997,0.076989010989011,0.1899790327555584,0.09400429200429199,0.2008293754642849,0.1511857987328576,0.29882734792730226,0.04834131487719183,0.11162700200785404,0.24,0.4285138983438295
tafeng,clf,split_10,13,0.1899145299145299,0.36779048241972323,0.076989010989011,0.1899790327555584,0.09392631929474032,0.20078152508984068,0.15108362759620367,0.2988055162560991,0.048311284847161795,0.11159555781680434,0.24,0.4285138983438295
tafeng,clf,split_10,14,0.18984126984126984,0.3677988094408517,0.076989010989011,0.1899790327555584,0.09385614385614384,0.20074233425667382,0.15099463983202124,0.29879077021732675,0.048282835345028086,0.11156687883280945,0.24,0.4285138983438295
tafeng,clf,split_10,15,0.18984126984126984,0.3677988094408517,0.076989010989011,0.1899790327555584,0.09385614385614384,0.20074233425667382,0.15099463983202124,0.29879077021732675,0.048282835345028086,0.11156687883280945,0.24,0.4285138983438295
tafeng,clf,split_10,16,0.18984126984126984,0.3677988094408517,0.076989010989011,0.1899790327555584,0.09385614385614384,0.20074233425667382,0.15099463983202124,0.29879077021732675,0.048282835345028086,0.11156687883280945,0.24,0.4285138983438295
tafeng,clf,split_10,17,0.18984126984126984,0.3677988094408517,0.076989010989011,0.1899790327555584,0.09385614385614384,0.20074233425667382,0.15099463983202124,0.29879077021732675,0.048282835345028086,0.11156687883280945,0.24,0.4285138983438295
tafeng,clf,split_10,18,0.18984126984126984,0.3677988094408517,0.076989010989011,0.1899790327555584,0.09385614385614384,0.20074233425667382,0.15099463983202124,0.29879077021732675,0.048282835345028086,0.11156687883280945,0.24,0.4285138983438295
tafeng,clf,split_10,19,0.18984126984126984,0.3677988094408517,0.076989010989011,0.1899790327555584,0.09385614385614384,0.20074233425667382,0.15099463983202124,0.29879077021732675,0.048282835345028086,0.11156687883280945,0.24,0.4285138983438295
tafeng,clf,split_10,20,0.18984126984126984,0.3677988094408517,0.076989010989011,0.1899790327555584,0.09385614385614384,0.20074233425667382,0.15099463983202124,0.29879077021732675,0.048282835345028086,0.11156687883280945,0.24,0.4285138983438295
tafeng,clf,split_20,2,0.1730981256890849,0.3409563136239236,0.06133837784322713,0.15769549343288614,0.0804147037113097,0.17964497363371826,0.1318911214169084,0.271822500600463,0.04006032060846749,0.09691186306720473,0.22712238147739802,0.41920347761727744
tafeng,clf,split_20,3,0.1679529584711503,0.3317172919487094,0.06544235658451784,0.16355237265722447,0.08228577440703182,0.17913657991133952,0.13165543540637847,0.26750790054288265,0.041902205190459875,0.09809770902915928,0.23594266813671444,0.4248207894055964
tafeng,clf,split_20,4,0.16391032708563028,0.3252210022644371,0.06657814349759252,0.16433110549625737,0.08189534555102176,0.17654158419373328,0.12974561416147892,0.2626597814531808,0.0421297035042732,0.09717466932854742,0.24035281146637266,0.4275334657651389
tafeng,clf,split_20,5,0.16286291804483646,0.3229868487868276,0.06730762241956122,0.16454166602657655,0.08197512100892847,0.1752549643235706,0.12936944112334886,0.26062505952013554,0.04235962883226582,0.09666673161369058,0.24476295479603086,0.43018377924342105
