model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score
clf,10,0,2.0,0.1126674374374604,0.4770613763174209,0.0646009182923099,0.7117172969621822
clf,10,0,3.0,0.148883993391172,0.448853068815871,0.0907024014147553,0.8146311221326721
clf,10,0,4.0,0.1776064408307456,0.4254494730316181,0.1145598727016278,0.8691878487290763
clf,10,0,5.0,0.1991859982989331,0.4044637321760695,0.1353618880383954,0.9045257284562926
clf,10,0,6.0,0.2177173159126944,0.38871667699938,0.1554499408051128,0.9268443893366398
clf,10,0,7.0,0.2338271326542128,0.3757860242671154,0.1750548349346276,0.9460632362058276
clf,10,0,8.0,0.2473004848177659,0.3642281463112213,0.1936610459575206,0.96342219466832
clf,10,0,9.0,0.2580962887748128,0.3535854515395742,0.2107971019968642,0.9702417854928704
clf,10,0,10.0,0.2695175113122327,0.3463112213267203,0.229409500469823,0.9776813391196528
clf,10,0,11.0,0.2768894632079049,0.3366398016119032,0.2451065203209909,0.9838809671419716
clf,10,0,12.0,0.2842484063894175,0.3293035751188262,0.2612311796601978,0.986360818350899
clf,10,0,13.0,0.2897506965608868,0.3215699365730363,0.2760668893253861,0.99008059516429
clf,10,0,14.0,0.2954952433203723,0.3155167832787175,0.291535922531908,0.9925604463732176
clf,10,0,15.0,0.2997821062523384,0.309320107460219,0.3057872776192894,0.9931804091754496
clf,10,0,16.0,0.3037525056657347,0.3038205207687539,0.3199179049710659,0.9950402975821452
clf,10,0,17.0,0.3071769149007242,0.2986032602749717,0.3336894631096249,0.9962802231866088
clf,10,0,18.0,0.3101468911020699,0.2936901563683956,0.3472272905543869,0.9969001859888408
clf,10,0,19.0,0.3123826489335899,0.2886742584918588,0.3602155687312177,0.9975201487910724
clf,10,0,20.0,0.3133916507950568,0.2831990080595164,0.3718467861554416,0.9987600743955364
clf,10,1,2.0,0.1186543404417181,0.5026476578411405,0.0679301586609696,0.7409368635437882
clf,10,1,3.0,0.157033348297647,0.4732009504412763,0.0954654771432252,0.8310590631364562
clf,10,1,4.0,0.1873021712190577,0.448888323150034,0.1204594579658623,0.8840122199592668
