model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score,avg_training_time_seconds,avg_pred_time_seconds
top,10,0,2,0.09509170138149886,0.4039057656540608,0.05451123483511355,0.6460012399256044,0.0980213378797272,1.4583384996900185e-05
top,10,0,3,0.13197032142971374,0.3967761934283943,0.08042187926564585,0.7817730936143832,0.0980213378797272,8.36267823930564e-06
top,10,0,4,0.158208611454784,0.379727216367018,0.10196308159067212,0.838189708617483,0.0980213378797272,7.205207687538748e-06
top,10,0,5,0.18387572607832375,0.37309361438313704,0.12498947462148609,0.8902665840049597,0.0980213378797272,6.725976441413515e-06
top,10,0,6,0.2075221291845601,0.3690845215953709,0.14840413185835932,0.921264724116553,0.0980213378797272,6.523248605083695e-06
top,10,0,7,0.22707710106067916,0.36320963599326894,0.17037639264391324,0.9522628642281463,0.0980213378797272,6.4352138871667705e-06
top,10,0,8,0.2430327690004783,0.3559361438313701,0.190952553165847,0.9603223806571606,0.0980213378797272,6.319280843149411e-06
top,10,0,9,0.2576059729531673,0.3504167527726114,0.2113239717715163,0.9702417854928704,0.0980213378797272,6.246745195288284e-06
top,10,0,10,0.26897113319346827,0.34383137011779286,0.22986692641815046,0.9727216367017979,0.0980213378797272,6.221326720396775e-06
top,10,0,11,0.27886824116905173,0.3373724849236318,0.24791426236082617,0.9801611903285803,0.0980213378797272,6.2076875387476745e-06
top,10,0,12,0.28971748522553104,0.33395329613556524,0.267414418867706,0.9845009299442034,0.0980213378797272,6.205207687538748e-06
top,10,0,13,0.2961363643653464,0.3271972912394487,0.2832905794522202,0.9888406695598264,0.0980213378797272,6.410415375077494e-06
top,10,0,14,0.3017226818050139,0.32096359932689744,0.29873932669574754,0.9894606323620583,0.0980213378797272,6.174829510229386e-06
top,10,0,15,0.3067325379214899,0.31510642694771646,0.31411550241820757,0.9900805951642901,0.0980213378797272,6.137011779293242e-06
top,10,0,16,0.3114444747928243,0.310136391816491,0.3295104447260859,0.9931804091754495,0.0980213378797272,6.133292002479851e-06
top,10,0,17,0.31552006813367434,0.30538638269939095,0.3444714137078098,0.9969001859888407,0.0980213378797272,6.120892746435214e-06
top,10,0,18,0.31944781219338864,0.3012330371288834,0.35941457614200706,0.9969001859888407,0.0980213378797272,6.1611903285802845e-06
top,10,0,19,0.32306744092227757,0.2973211081019349,0.37459036585327526,0.9975201487910725,0.0980213378797272,6.133911965282083e-06
top,10,0,20,0.3262464696646,0.2939243645381277,0.3887966562792633,0.9975201487910725,0.0980213378797272,6.189708617482951e-06
top,10,1,2,0.09305659636661787,0.39536659877800406,0.05328794121857219,0.6206720977596741,0.42578829358452136,1.0466496945010183e-05
top,10,1,3,0.12919027638464012,0.3895790902919212,0.07858988351043068,0.7558044806517311,0.42578829358452136,6.607128309572301e-06
top,10,1,4,0.1596937195339897,0.38281568228105906,0.10281806563796736,0.834826883910387,0.42578829358452136,5.773421588594704e-06
top,10,1,5,0.18452420605845862,0.3736456211812628,0.12532064109421123,0.885030549898167,0.42578829358452136,5.474032586558044e-06
top,10,1,6,0.20636209593013816,0.36656483367277665,0.14739725459155675,0.9176171079429736,0.42578829358452136,5.311201629327902e-06
top,10,1,7,0.22456132878229354,0.35885462127824647,0.1682702002997248,0.9424643584521385,0.42578829358452136,5.1998981670061094e-06
top,10,1,8,0.23846357120081882,0.34944234312869754,0.18690083162862836,0.9566191446028514,0.42578829358452136,5.1404276985743386e-06
top,10,1,9,0.2510619667924913,0.3418289124882811,0.20541146010426423,0.9678207739307536,0.42578829358452136,5.129226069246436e-06
top,10,1,10,0.26188276610947303,0.33469268257201046,0.22326710819369067,0.9754582484725051,0.42578829358452136,5.068635437881874e-06
top,10,1,11,0.27165420467892987,0.32877525987251033,0.24082070526079782,0.980142566191446,0.42578829358452136,5.046130346232179e-06
top,10,1,12,0.28022823066604036,0.32315978742913565,0.25797257345163116,0.9852342158859471,0.42578829358452136,5.037576374745418e-06
top,10,1,13,0.28730282341702384,0.3173899038843031,0.2742596020573205,0.9885947046843178,0.42578829358452136,5.022403258655804e-06
top,10,1,14,0.2934899159118063,0.3119703743303539,0.2901386590517457,0.9912423625254583,0.42578829358452136,5.008961303462322e-06
top,10,1,15,0.2987179629784217,0.30678465034625924,0.3053687042558469,0.9927698574338085,0.42578829358452136,5.013441955193483e-06
top,10,1,16,0.30323169822233204,0.3017757399592939,0.32024884003083387,0.9937881873727088,0.42578829358452136,4.985030549898167e-06
top,10,1,17,0.3069779516355184,0.2969877173164282,0.3344650157841679,0.9951120162932791,0.42578829358452136,5.011608961303463e-06
