model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score
top,10,2,2,0.028892947393447783,0.052930056710775046,0.02327417200526841,0.0888468809073724
top,10,2,3,0.034415213201491414,0.05229993698802772,0.03262824114443356,0.11153119092627599
top,10,2,4,0.03485139064275401,0.04946439823566477,0.03631132554585445,0.11720226843100189
top,10,2,5,0.035768706324810086,0.04984247006931317,0.03818260500199459,0.1266540642722117
top,10,2,6,0.037508207938270456,0.05072463768115941,0.04223981905448274,0.13988657844990549
top,10,2,7,0.03799816635381469,0.05085966333603384,0.04396356474798269,0.14744801512287334
top,10,2,8,0.03844997794982031,0.05099468899090827,0.04517564504323879,0.15311909262759923
top,10,2,9,0.038527596652625756,0.05083715906022144,0.045721373731689594,0.15311909262759923
top,10,2,10,0.039277105470134833,0.05121523089386983,0.04737228740528758,0.15879017013232513
top,10,2,11,0.03924758122730433,0.051026194977045636,0.04782597360566565,0.16068052930056712
top,10,2,12,0.03923592506211813,0.050868665046358806,0.04814103346703931,0.16068052930056712
top,10,2,13,0.03920144077675046,0.050832311985431075,0.048259180915054434,0.16068052930056712
top,10,2,14,0.039471503218682875,0.05097772422914199,0.04936189042986225,0.16257088846880907
top,10,2,15,0.03952372448815111,0.050977724229142,0.0496319417396111,0.16446124763705103
top,10,2,16,0.03980052741385609,0.05111950116676014,0.0516941517413296,0.166351606805293
top,10,2,17,0.0397280316662295,0.05105695251781096,0.0516941517413296,0.166351606805293
top,10,2,18,0.03983834754457669,0.05112490660555822,0.05200921160270326,0.16824196597353497
top,10,2,19,0.039788984874133265,0.051086215043635134,0.05200921160270326,0.16824196597353497
top,10,2,20,0.039758671061271726,0.051061341896684584,0.05200921160270326,0.16824196597353497
top,20,2,2,0.028661646316418016,0.05506993006993007,0.02287790589364016,0.09265734265734266
top,20,2,3,0.033701763376414166,0.052738927738927736,0.03240291039472121,0.11363636363636363
top,20,2,4,0.03479651592840278,0.05055361305361305,0.03652507028611187,0.12412587412587413
top,20,2,5,0.035511900700689054,0.05037878787878787,0.038224457855064654,0.13286713286713286
top,20,2,6,0.03729270960461436,0.05113636363636364,0.042219994404077144,0.14685314685314685
top,20,2,7,0.03801496115089658,0.05151098901098901,0.04412010187236643,0.15384615384615385
top,20,2,8,0.038601594870022224,0.051604645354645345,0.045590714592979156,0.1590909090909091
top,20,2,9,0.03856474351028235,0.05128898878898879,0.04606561847697395,0.1590909090909091
top,20,2,10,0.039414444307739,0.05171633921633921,0.047883800295155765,0.16433566433566432
top,20,2,11,0.039326202492814426,0.05147794125066853,0.04830338071473619,0.1660839160839161
top,20,2,12,0.03928443326930218,0.05130576494212857,0.048594756006111475,0.1660839160839161
top,20,2,13,0.039104511066993135,0.05111525032853704,0.048594756006111475,0.1660839160839161
top,20,2,14,0.03963061337749019,0.051489875703162415,0.05006705821370779,0.16958041958041958
top,20,2,15,0.03982279157394856,0.051581450794737506,0.0506664588131084,0.17307692307692307
top,20,2,16,0.04005085271477225,0.05169071652900324,0.052573642538473936,0.17482517482517482
top,20,2,17,0.03994853538212214,0.05159430558700406,0.052573642538473936,0.17482517482517482
top,20,2,18,0.04001812404342396,0.05162287179204086,0.05286501782984923,0.17657342657342656
top,20,2,19,0.03994254022500875,0.05155641777821842,0.05286501782984923,0.17657342657342656
top,20,2,20,0.03990427446826793,0.051519612478255226,0.05286501782984923,0.17657342657342656
top,30,2,2,0.025354945036246555,0.04884547069271759,0.02013850466219602,0.08348134991119005
top,30,2,3,0.029900102766710682,0.04706927175843695,0.028264601971241816,0.108348134991119
top,30,2,4,0.03155730504031131,0.0452930728241563,0.03309265333570526,0.11900532859680284
top,30,2,5,0.03238305294326809,0.045204262877442274,0.03493550569790275,0.13143872113676733
top,30,2,6,0.033201165689313555,0.044552989934872694,0.03819263932803815,0.14209591474245115
top,30,2,7,0.03386524073619858,0.04472215173813752,0.040123121516069185,0.1492007104795737
top,30,2,8,0.03470730342352729,0.0448807409286983,0.042061292876975895,0.15630550621669628
top,30,2,9,0.03514036905631956,0.044831402069412725,0.04328387136420801,0.15985790408525755
top,30,2,10,0.035933872702472974,0.04512743522512617,0.04513111825585989,0.16518650088809947
top,30,2,11,0.036004252087640985,0.04493366806865918,0.04591264578694337,0.16873889875666073
