model_name,split_type,max_days,pred_length,avg_f1_score,avg_precision,avg_recall,avg_hit_score
top,10,0,2,0.09509170138149886,0.4039057656540608,0.05451123483511355,0.6460012399256044
top,10,0,3,0.13197032142971374,0.3967761934283943,0.08042187926564585,0.7817730936143832
top,10,0,4,0.158208611454784,0.379727216367018,0.10196308159067212,0.838189708617483
top,10,0,5,0.18387572607832375,0.37309361438313704,0.12498947462148609,0.8902665840049597
top,10,0,6,0.2075221291845601,0.3690845215953709,0.14840413185835932,0.921264724116553
top,10,0,7,0.22707710106067916,0.36320963599326894,0.17037639264391324,0.9522628642281463
top,10,0,8,0.2430327690004783,0.3559361438313701,0.190952553165847,0.9603223806571606
top,10,0,9,0.2576059729531673,0.3504167527726114,0.2113239717715163,0.9702417854928704
top,10,0,10,0.26897113319346827,0.34383137011779286,0.22986692641815046,0.9727216367017979
top,10,0,11,0.27886824116905173,0.3373724849236318,0.24791426236082617,0.9801611903285803
top,10,0,12,0.28971748522553104,0.33395329613556524,0.267414418867706,0.9845009299442034
top,10,0,13,0.2961363643653464,0.3271972912394487,0.2832905794522202,0.9888406695598264
top,10,0,14,0.3017226818050139,0.32096359932689744,0.29873932669574754,0.9894606323620583
top,10,0,15,0.3067325379214899,0.31510642694771646,0.31411550241820757,0.9900805951642901
top,10,0,16,0.3114444747928243,0.310136391816491,0.3295104447260859,0.9931804091754495
top,10,0,17,0.31552006813367434,0.30538638269939095,0.3444714137078098,0.9969001859888407
top,10,0,18,0.31944781219338864,0.3012330371288834,0.35941457614200706,0.9969001859888407
top,10,0,19,0.32306744092227757,0.2973211081019349,0.37459036585327526,0.9975201487910725
top,10,0,20,0.3262464696646,0.2939243645381277,0.3887966562792633,0.9975201487910725
top,10,1,2,0.09305659636661787,0.39536659877800406,0.05328794121857219,0.6206720977596741
top,10,1,3,0.12919027638464012,0.3895790902919212,0.07858988351043068,0.7558044806517311
top,10,1,4,0.1596937195339897,0.38281568228105906,0.10281806563796736,0.834826883910387
top,10,1,5,0.18452420605845862,0.3736456211812628,0.12532064109421123,0.885030549898167
top,10,1,6,0.20636209593013816,0.36656483367277665,0.14739725459155675,0.9176171079429736
top,10,1,7,0.22456132878229354,0.35885462127824647,0.1682702002997248,0.9424643584521385
top,10,1,8,0.23846357120081882,0.34944234312869754,0.18690083162862836,0.9566191446028514
top,10,1,9,0.2510619667924913,0.3418289124882811,0.20541146010426423,0.9678207739307536
top,10,1,10,0.26188276610947303,0.33469268257201046,0.22326710819369067,0.9754582484725051
top,10,1,11,0.27165420467892987,0.32877525987251033,0.24082070526079782,0.980142566191446
top,10,1,12,0.28022823066604036,0.32315978742913565,0.25797257345163116,0.9852342158859471
top,10,1,13,0.28730282341702384,0.3173899038843031,0.2742596020573205,0.9885947046843178
top,10,1,14,0.2934899159118063,0.3119703743303539,0.2901386590517457,0.9912423625254583
top,10,1,15,0.2987179629784217,0.30678465034625924,0.3053687042558469,0.9927698574338085
top,10,1,16,0.30323169822233204,0.3017757399592939,0.32024884003083387,0.9937881873727088
top,10,1,17,0.3069779516355184,0.2969877173164282,0.3344650157841679,0.9951120162932791
top,10,1,18,0.31010045107097917,0.2922857618567155,0.34827607930202026,0.9957230142566191
top,10,1,19,0.31245920053728393,0.28756214017522047,0.3613614111318685,0.9964358452138493
top,10,1,20,0.31493066314836105,0.28354777636345074,0.3746897002664232,0.9970468431771894
top,10,2,2,0.0922521178063292,0.39998319045217684,0.05266481589895556,0.6318709026727181
top,10,2,3,0.12789123615267403,0.3926290132795428,0.0774888384150158,0.7586989409984871
top,10,2,4,0.15792684149976202,0.3851067406286771,0.10116442599039979,0.8419062027231468
top,10,2,5,0.1828002658541891,0.3764414187258363,0.12338187303634006,0.8885526979324256
top,10,2,6,0.204022889164984,0.3685773519358996,0.1446704914180624,0.9216675071440579
top,10,2,7,0.22227960375921094,0.36098303836579165,0.16522013687730838,0.9425953941838965
top,10,2,8,0.23758354325135939,0.35348477935467343,0.1846171304946208,0.9578080349638595
top,10,2,9,0.25077972222639183,0.34643294057691437,0.20333070469241146,0.9674735249621785
top,10,2,10,0.2620279150014241,0.3396316107549088,0.22125193056832632,0.9754580601781812
top,10,2,11,0.27212652851302854,0.3335587795686131,0.23895255624534514,0.980164733568667
top,10,2,12,0.2808125600620295,0.3277448408878061,0.255997396895734,0.9843671205244579
top,10,2,13,0.28731468953615025,0.3211891172367723,0.27144251070297354,0.9880652210455538
top,10,2,14,0.29374543478261345,0.3158714814350215,0.2872869971003453,0.9906707009581442
top,10,2,15,0.2984778333828835,0.30997933469567357,0.3017696655113971,0.9917633215666498
top,10,2,16,0.3026871797869541,0.304565959898789,0.3160471220367905,0.9931921331316188
top,10,2,17,0.3070456825510892,0.3002032024407881,0.33069508899225036,0.9938645150445453
top,10,2,18,0.3105440765073009,0.2957489469334638,0.3446216537289916,0.9950411833921667
top,10,2,19,0.3132394342213072,0.2912391221951177,0.35780419715348505,0.9960497562615566
top,10,2,20,0.3155925899757007,0.286955341639341,0.3707745346285953,0.9964699949571356
top,20,0,2,0.0932745585722485,0.39629120879120877,0.05346847604959233,0.6380494505494505
top,20,0,3,0.1299525952441343,0.3914835164835165,0.0791761192077707,0.7740384615384616
top,20,0,4,0.1577706532627276,0.3789491758241758,0.101683720401858,0.8365384615384616
top,20,0,5,0.18338260885171948,0.3725274725274726,0.12466432494097986,0.8907967032967034
top,20,0,6,0.20730354108966623,0.36893315018315015,0.14827679746485262,0.9244505494505495
top,20,0,7,0.2259988039907284,0.3618524332810046,0.16957935233755198,0.9526098901098901
top,20,0,8,0.2432305193610215,0.3563701923076923,0.19117608102472325,0.9649725274725275
top,20,0,9,0.25706896612856084,0.3498931623931624,0.2109455205563059,0.9739010989010989
top,20,0,10,0.26848321300110317,0.3433379120879121,0.22954668647217055,0.9739010989010989
top,20,0,11,0.27838475990759604,0.3367882117882118,0.24766006058947126,0.9807692307692307
top,20,0,12,0.28808899099578084,0.3321314102564102,0.2660953807765435,0.9855769230769231
top,20,0,13,0.2945734345017162,0.3254437869822485,0.2820767731708726,0.9903846153846154
top,20,0,14,0.3002478883130238,0.3195153061224489,0.29744715614072814,0.9903846153846154
top,20,0,15,0.306107490970356,0.31465201465201464,0.3135696290433908,0.9910714285714286
top,20,0,16,0.31094698168792134,0.3098385989010989,0.32906222980283995,0.9931318681318682
top,20,0,17,0.31521767519719146,0.30526826115061406,0.34429603064593806,0.9972527472527473
top,20,0,18,0.31880732166768205,0.3007860195360195,0.3588773986621785,0.9972527472527473
top,20,0,19,0.3223528502240617,0.29681174089068824,0.37397109814974816,0.9979395604395604
top,20,0,20,0.3258375117773887,0.29354395604395606,0.3888174321641463,0.9986263736263736
top,20,1,2,0.09469399386868882,0.40246601327853304,0.05422429907089887,0.6291495415744547
top,20,1,3,0.12987891521874878,0.3929110900340745,0.07895336432576609,0.7599325534829803
top,20,1,4,0.16028486206628176,0.3853936136579197,0.10311386195307569,0.8362314258615239
top,20,1,5,0.18525962686432565,0.37616187164084736,0.12570926043299668,0.8861840025292443
top,20,1,6,0.20710118461284757,0.36877788316296056,0.14776674746327617,0.9200126462219412
top,20,1,7,0.22515372224113095,0.36070337082034826,0.1685074586999011,0.9442512382758984
top,20,1,8,0.2404832976366725,0.3530798819685952,0.1882804217964195,0.9592159342396459
top,20,1,9,0.25331828244363364,0.3455594782262503,0.20702219550406467,0.9708083043524081
top,20,1,10,0.26392397664811723,0.3379764288474374,0.22471398943814663,0.9774475708715354
top,20,1,11,0.2734877789221271,0.3315230234689608,0.24216795779932832,0.9824006744651702
top,20,1,12,0.2818957815919876,0.3255743492464959,0.2591665173102148,0.9864053114132153
top,20,1,13,0.28880551528171233,0.3194694396480675,0.2753435438137191,0.9899884076298873
top,20,1,14,0.29490600558591273,0.31386781185232016,0.2911545936481157,0.9911476446411634
top,20,1,15,0.30000366902721637,0.3084861418484561,0.3062415563656194,0.993149963115186
top,20,1,16,0.30495771674553,0.30376269013243407,0.32166460961691895,0.994203814943619
top,20,1,17,0.30921799272733214,0.29940935221174564,0.33641944710241256,0.9959953630519549
top,20,1,18,0.3124032554353612,0.29466529700368566,0.35038430689442673,0.9965222889661713
top,20,1,19,0.31516947937033163,0.29022648542807855,0.3640257496502837,0.9971546000632311
top,20,1,20,0.31768835696067926,0.2860756958711956,0.37760529543529664,0.9979976815259775
